TransactionID,CustomerID,TransactionDate,Merchant,Country,Amount,PaymentMethod,DeviceID,IPAddress
100001,C1001,2026-01-03 09:15:00,Amazon,USA,89.99,Visa,DV1001,172.16.1.15
100002,C1002,2026-01-03 09:42:00,Apple,USA,1299.99,Mastercard,DV1045,172.16.2.18
100003,C1003,2026-01-03 10:11:00,Best Buy,USA,2499.99,Amex,DV1008,172.16.8.30
100004,C1001,2026-01-03 10:25:00,Walmart,USA,45.12,Visa,DV1001,172.16.1.15
100005,C1004,2026-01-03 10:45:00,Nike,Canada,12500.00,Visa,DV1088,185.44.10.5
100006,C1005,2026-01-03 11:01:00,Target,USA,65.20,Visa,DV1018,172.16.3.12
100007,C1004,2026-01-03 11:07:00,Apple,Canada,13250.00,Visa,DV1088,185.44.10.5
100008,C1006,2026-01-03 11:30:00,Steam,Singapore,9999.99,Mastercard,DV1110,202.88.14.9
100009,C1007,2026-01-03 11:41:00,Ebay,USA,120.75,Visa,DV1022,172.16.5.4
100010,C1004,2026-01-03 11:50:00,Amazon,Germany,14800.00,Visa,DV1088,185.44.10.5
100011,C1008,2026-01-03 12:05:00,Costco,USA,540.99,Visa,DV1031,172.16.4.20
100012,C1009,2026-01-03 12:20:00,Airbnb,France,8750.00,Amex,DV1092,91.200.5.11
100013,C1009,2026-01-03 12:24:00,Airbnb,France,8950.00,Amex,DV1092,91.200.5.11
100014,C1009,2026-01-03 12:27:00,Airbnb,France,9100.00,Amex,DV1092,91.200.5.11
100015,C1010,2026-01-03 13:05:00,Spotify,USA,10.99,Visa,DV1048,172.16.7.3
